"subjID"	"trial"	"choice"	"outcome"
1	1	1	-1
1	2	1	1
1	3	1	-1
1	4	1	1
1	5	1	1
1	6	2	-1
1	7	2	1
1	8	1	1
1	9	2	1
1	10	1	-1
1	11	1	1
1	12	2	1
1	13	2	-1
1	14	2	1
1	15	2	1
1	16	1	1
1	17	1	-1
1	18	2	1
1	19	1	1
1	20	2	1
1	21	1	1
1	22	1	1
1	23	1	-1
1	24	1	1
1	25	2	1
1	26	2	1
1	27	2	1
1	28	2	1
1	29	2	1
1	30	2	-1
1	31	2	1
1	32	1	1
1	33	1	1
1	34	1	-1
1	35	1	-1
1	36	2	1
1	37	2	1
1	38	2	1
1	39	2	1
1	40	2	1
1	41	2	1
1	42	2	1
1	43	2	1
1	44	2	1
1	45	2	1
1	46	2	1
1	47	2	1
1	48	1	-1
1	49	2	1
1	50	2	-1
1	51	2	-1
1	52	2	-1
1	53	2	1
1	54	1	1
1	55	1	1
1	56	1	1
1	57	2	1
1	58	1	-1
1	59	2	1
1	60	2	1
1	61	2	1
1	62	2	-1
1	63	2	1
1	64	2	-1
1	65	1	1
1	66	2	1
1	67	2	1
1	68	1	-1
1	69	2	1
1	70	1	1
1	71	2	1
1	72	2	1
1	73	2	1
1	74	1	-1
1	75	2	1
1	76	2	1
1	77	1	1
1	78	2	1
1	79	1	-1
1	80	1	-1
1	81	2	-1
1	82	2	-1
1	83	2	1
1	84	1	1
1	85	2	1
1	86	2	1
1	87	2	1
1	88	2	1
1	89	2	1
1	90	2	-1
1	91	2	1
1	92	1	1
1	93	2	1
1	94	2	1
1	95	2	1
1	96	2	-1
1	97	2	-1
1	98	1	-1
1	99	2	-1
1	100	1	1
2	1	1	-1
2	2	1	-1
2	3	1	-1
2	4	2	1
2	5	1	-1
2	6	2	1
2	7	2	1
2	8	2	1
2	9	2	1
2	10	2	1
2	11	2	1
2	12	2	1
2	13	2	1
2	14	2	1
2	15	2	1
2	16	2	1
2	17	2	1
2	18	2	1
2	19	2	1
2	20	2	1
2	21	2	-1
2	22	2	1
2	23	2	1
2	24	2	1
2	25	2	-1
2	26	2	1
2	27	2	-1
2	28	2	1
2	29	2	1
2	30	1	1
2	31	2	-1
2	32	2	1
2	33	1	-1
2	34	2	1
2	35	2	1
2	36	2	1
2	37	2	1
2	38	2	1
2	39	2	1
2	40	1	1
2	41	2	1
2	42	2	1
2	43	2	1
2	44	2	-1
2	45	2	1
2	46	1	-1
2	47	1	1
2	48	2	1
2	49	1	-1
2	50	2	1
2	51	2	-1
2	52	1	-1
2	53	2	-1
2	54	1	-1
2	55	1	1
2	56	1	-1
2	57	2	1
2	58	1	-1
2	59	2	1
2	60	2	-1
2	61	1	1
2	62	1	-1
2	63	2	1
2	64	2	1
2	65	2	1
2	66	2	1
2	67	1	-1
2	68	2	-1
2	69	2	1
2	70	1	-1
2	71	2	1
2	72	2	-1
2	73	2	1
2	74	1	-1
2	75	2	1
2	76	2	1
2	77	2	1
2	78	2	-1
2	79	2	1
2	80	1	-1
2	81	2	1
2	82	2	1
2	83	2	1
2	84	2	1
2	85	2	1
2	86	2	-1
2	87	2	1
2	88	2	1
2	89	2	-1
2	90	2	1
2	91	2	1
2	92	2	-1
2	93	2	1
2	94	2	1
2	95	2	1
2	96	2	1
2	97	2	-1
2	98	2	-1
2	99	2	1
2	100	2	1
3	1	2	1
3	2	1	1
3	3	2	-1
3	4	2	1
3	5	2	1
3	6	2	1
3	7	2	1
3	8	2	1
3	9	2	-1
3	10	2	1
3	11	1	-1
3	12	1	-1
3	13	2	1
3	14	1	-1
3	15	2	1
3	16	2	-1
3	17	1	1
3	18	1	-1
3	19	1	1
3	20	1	1
3	21	2	1
3	22	2	1
3	23	2	1
3	24	1	1
3	25	1	-1
3	26	2	1
3	27	1	-1
3	28	1	-1
3	29	2	1
3	30	2	1
3	31	2	1
3	32	1	-1
3	33	2	1
3	34	2	1
3	35	2	1
3	36	2	1
3	37	1	1
3	38	2	-1
3	39	2	1
3	40	1	1
3	41	1	-1
3	42	2	1
3	43	2	1
3	44	2	1
3	45	2	1
3	46	2	1
3	47	2	1
3	48	1	1
3	49	2	1
3	50	1	-1
3	51	1	-1
3	52	2	1
3	53	2	1
3	54	2	1
3	55	2	1
3	56	2	1
3	57	2	1
3	58	2	1
3	59	1	-1
3	60	1	-1
3	61	2	1
3	62	1	1
3	63	1	1
3	64	2	-1
3	65	1	1
3	66	2	1
3	67	1	-1
3	68	2	1
3	69	2	1
3	70	2	1
3	71	2	-1
3	72	2	1
3	73	1	1
3	74	2	-1
3	75	2	1
3	76	1	-1
3	77	2	1
3	78	2	1
3	79	2	1
3	80	2	1
3	81	1	1
3	82	1	-1
3	83	2	-1
3	84	2	1
3	85	1	-1
3	86	2	1
3	87	2	-1
3	88	2	-1
3	89	1	-1
3	90	2	1
3	91	2	-1
3	92	2	1
3	93	1	-1
3	94	2	1
3	95	2	1
3	96	1	-1
3	97	1	-1
3	98	2	-1
3	99	2	1
3	100	1	1
4	1	2	1
4	2	2	1
4	3	1	-1
4	4	1	-1
4	5	2	1
4	6	1	-1
4	7	2	-1
4	8	2	1
4	9	1	-1
4	10	1	1
4	11	2	1
4	12	2	1
4	13	2	1
4	14	1	1
4	15	1	1
4	16	2	1
4	17	2	1
4	18	2	-1
4	19	1	1
4	20	1	1
4	21	2	1
4	22	1	-1
4	23	2	1
4	24	1	1
4	25	1	-1
4	26	2	1
4	27	2	1
4	28	2	-1
4	29	2	1
4	30	1	-1
4	31	2	1
4	32	2	1
4	33	2	1
4	34	2	1
4	35	2	1
4	36	1	-1
4	37	2	1
4	38	2	1
4	39	2	1
4	40	2	-1
4	41	1	1
4	42	2	1
4	43	2	1
4	44	2	1
4	45	2	1
4	46	2	-1
4	47	2	1
4	48	2	1
4	49	2	-1
4	50	2	1
4	51	2	1
4	52	2	1
4	53	2	1
4	54	2	1
4	55	2	1
4	56	2	1
4	57	2	1
4	58	2	1
4	59	2	-1
4	60	2	1
4	61	2	1
4	62	2	1
4	63	2	-1
4	64	2	1
4	65	2	1
4	66	1	1
4	67	2	1
4	68	1	-1
4	69	2	1
4	70	2	-1
4	71	1	1
4	72	1	1
4	73	2	1
4	74	2	1
4	75	1	-1
4	76	1	1
4	77	1	1
4	78	2	1
4	79	2	1
4	80	2	-1
4	81	2	1
4	82	2	1
4	83	2	1
4	84	1	-1
4	85	2	1
4	86	2	1
4	87	2	1
4	88	2	1
4	89	2	1
4	90	2	1
4	91	2	1
4	92	2	1
4	93	2	-1
4	94	2	1
4	95	2	1
4	96	2	1
4	97	2	-1
4	98	2	1
4	99	2	1
4	100	2	1
5	1	2	-1
5	2	1	1
5	3	2	1
5	4	1	-1
5	5	1	-1
5	6	2	-1
5	7	1	1
5	8	1	-1
5	9	1	-1
5	10	2	-1
5	11	1	-1
5	12	1	-1
5	13	2	-1
5	14	2	-1
5	15	1	1
5	16	1	-1
5	17	2	-1
5	18	1	1
5	19	2	1
5	20	2	-1
5	21	2	1
5	22	2	-1
5	23	1	1
5	24	1	1
5	25	1	1
5	26	1	-1
5	27	1	-1
5	28	1	-1
5	29	2	1
5	30	2	-1
5	31	1	1
5	32	1	1
5	33	2	1
5	34	1	-1
5	35	1	-1
5	36	2	1
5	37	2	-1
5	38	2	-1
5	39	2	-1
5	40	1	1
5	41	1	1
5	42	2	-1
5	43	1	-1
5	44	1	1
5	45	1	-1
5	46	1	1
5	47	1	1
5	48	1	-1
5	49	1	-1
5	50	2	1
5	51	1	1
5	52	2	1
5	53	1	1
5	54	1	-1
5	55	1	-1
5	56	2	1
5	57	2	1
5	58	2	1
5	59	2	1
5	60	2	1
5	61	2	1
5	62	2	1
5	63	2	1
5	64	2	1
5	65	2	-1
5	66	2	1
5	67	1	-1
5	68	2	-1
5	69	1	1
5	70	1	1
5	71	2	-1
5	72	1	1
5	73	1	1
5	74	1	-1
5	75	1	-1
5	76	2	1
5	77	2	-1
5	78	2	1
5	79	1	1
5	80	2	-1
5	81	1	1
5	82	2	1
5	83	2	1
5	84	2	1
5	85	2	-1
5	86	2	1
5	87	1	-1
5	88	1	1
5	89	1	1
5	90	1	1
5	91	1	1
5	92	2	1
5	93	2	-1
5	94	1	1
5	95	1	1
5	96	2	1
5	97	1	1
5	98	1	-1
5	99	2	1
5	100	1	-1
6	1	1	-1
6	2	2	1
6	3	2	1
6	4	2	1
6	5	1	-1
6	6	2	1
6	7	2	1
6	8	2	-1
6	9	2	1
6	10	2	1
6	11	2	1
6	12	2	1
6	13	1	-1
6	14	2	1
6	15	2	-1
6	16	2	1
6	17	2	-1
6	18	2	1
6	19	2	1
6	20	2	-1
6	21	2	-1
6	22	1	-1
6	23	2	-1
6	24	2	1
6	25	2	1
6	26	2	1
6	27	2	1
6	28	2	1
6	29	1	1
6	30	2	1
6	31	2	1
6	32	2	1
6	33	2	1
6	34	2	1
6	35	2	1
6	36	2	1
6	37	2	-1
6	38	1	-1
6	39	2	1
6	40	2	-1
6	41	1	1
6	42	1	1
6	43	2	1
6	44	1	-1
6	45	2	1
6	46	1	1
6	47	2	1
6	48	2	1
6	49	2	1
6	50	2	1
6	51	2	1
6	52	2	1
6	53	2	1
6	54	2	1
6	55	2	1
6	56	2	1
6	57	2	1
6	58	2	-1
6	59	2	1
6	60	1	1
6	61	2	1
6	62	1	-1
6	63	2	1
6	64	2	1
6	65	1	1
6	66	2	-1
6	67	1	-1
6	68	2	1
6	69	2	1
6	70	2	1
6	71	1	-1
6	72	2	-1
6	73	2	1
6	74	1	-1
6	75	2	1
6	76	2	1
6	77	2	1
6	78	2	1
6	79	2	-1
6	80	2	1
6	81	2	1
6	82	2	1
6	83	2	1
6	84	2	-1
6	85	2	1
6	86	2	1
6	87	2	1
6	88	2	1
6	89	2	1
6	90	2	1
6	91	2	1
6	92	2	1
6	93	2	1
6	94	1	1
6	95	2	-1
6	96	2	1
6	97	2	1
6	98	1	1
6	99	2	1
6	100	1	1
7	1	2	1
7	2	1	1
7	3	1	1
7	4	1	1
7	5	2	1
7	6	1	1
7	7	2	1
7	8	1	1
7	9	2	1
7	10	2	1
7	11	1	1
7	12	1	1
7	13	1	1
7	14	2	1
7	15	2	1
7	16	2	1
7	17	1	-1
7	18	1	1
7	19	2	1
7	20	1	-1
7	21	1	-1
7	22	2	-1
7	23	2	1
7	24	1	-1
7	25	1	1
7	26	2	1
7	27	2	1
7	28	2	1
7	29	2	1
7	30	2	1
7	31	1	-1
7	32	1	1
7	33	2	-1
7	34	2	1
7	35	1	-1
7	36	2	1
7	37	2	-1
7	38	1	1
7	39	1	1
7	40	2	1
7	41	2	-1
7	42	2	1
7	43	1	-1
7	44	2	1
7	45	1	-1
7	46	2	-1
7	47	2	-1
7	48	1	-1
7	49	1	1
7	50	2	1
7	51	2	1
7	52	1	-1
7	53	1	1
7	54	2	1
7	55	2	1
7	56	1	1
7	57	2	1
7	58	2	1
7	59	2	1
7	60	2	-1
7	61	2	1
7	62	2	1
7	63	2	1
7	64	1	1
7	65	2	1
7	66	1	1
7	67	1	1
7	68	1	1
7	69	2	-1
7	70	1	1
7	71	2	1
7	72	2	1
7	73	1	1
7	74	2	1
7	75	2	-1
7	76	1	-1
7	77	2	1
7	78	2	1
7	79	2	1
7	80	1	1
7	81	1	1
7	82	1	-1
7	83	1	-1
7	84	2	-1
7	85	1	1
7	86	1	1
7	87	1	-1
7	88	1	-1
7	89	2	1
7	90	2	1
7	91	2	1
7	92	1	-1
7	93	1	-1
7	94	2	1
7	95	1	-1
7	96	2	1
7	97	2	1
7	98	2	-1
7	99	1	1
7	100	2	1
8	1	1	-1
8	2	1	-1
8	3	2	1
8	4	2	1
8	5	2	1
8	6	2	1
8	7	2	1
8	8	2	-1
8	9	2	1
8	10	2	1
8	11	2	1
8	12	2	1
8	13	2	1
8	14	2	1
8	15	2	-1
8	16	2	1
8	17	2	1
8	18	2	1
8	19	2	1
8	20	2	1
8	21	2	1
8	22	2	1
8	23	2	1
8	24	2	1
8	25	2	1
8	26	2	1
8	27	2	-1
8	28	2	1
8	29	2	1
8	30	2	1
8	31	2	1
8	32	2	1
8	33	2	-1
8	34	1	-1
8	35	2	-1
8	36	2	1
8	37	2	1
8	38	2	1
8	39	2	1
8	40	2	1
8	41	2	1
8	42	1	-1
8	43	2	1
8	44	2	1
8	45	2	1
8	46	2	1
8	47	2	1
8	48	2	1
8	49	2	1
8	50	2	-1
8	51	2	-1
8	52	2	1
8	53	2	-1
8	54	2	1
8	55	1	1
8	56	2	1
8	57	1	1
8	58	2	-1
8	59	2	1
8	60	2	1
8	61	2	1
8	62	2	-1
8	63	1	-1
8	64	1	-1
8	65	2	1
8	66	2	1
8	67	2	-1
